term_id	slug	name	parent_slug
956	anti-scheuer-schutz-anwendung	Anwendung Anti-Scheuer-Schutz	
631	automatische-traenken-anwendung	Anwendung Automatische Tränken	
832	bodenarbeitsseile-anwendung	Anwendung Bodenarbeitsseile	
875	bodenstangen-anwendung	Anwendung Bodenstangen	
813	bremsenfallen-anwendung	Anwendung Bremsenfallen	
708	gesundheit-insekten-und-schutz-bremsenfallen-anwendung	Anwendung Bremsenfallen	
731	desinfektionsmittel-fuer-stall-anwendung	Anwendung Desinfektionsmittel für Stall	
604	diaetfutter-anwendung	Anwendung Diätfutter	
866	doppellonge-anwendung	Anwendung Doppellonge	
670	dosierer-fuer-futter-anwendung	Anwendung Dosierer für Futter	
889	dressurviereck-buchstaben-anwendung	Anwendung Dressurviereck Buchstaben	
880	training-bodenhindernisse-dualgassen-anwendung	Anwendung Dualgassen	
818	ekzemerdecken-anwendung	Anwendung Ekzemerdecken	
713	gesundheit-insekten-und-schutz-ekzemerdecken-anwendung	Anwendung Ekzemerdecken	
808	fliegenmasken-anwendung	Anwendung Fliegenmasken	
703	gesundheit-insekten-und-schutz-fliegenmasken-anwendung	Anwendung Fliegenmasken	
803	fliegensprays-anwendung	Anwendung Fliegensprays	
698	gesundheit-insekten-und-schutz-fliegensprays-anwendung	Anwendung Fliegensprays	
922	fohlenhalfter-anwendung	Anwendung Fohlenhalfter	
478	traenken-und-wasser-frostsichere-pferdetraenken-anwendung	Anwendung frostsichere Pferdetränken	
937	fuehrtraining-zubehoer-anwendung	Anwendung Führtraining-Zubehör	
655	futterautomaten-anwendung	Anwendung Futterautomaten	
646	futterkammer-regale-anwendung	Anwendung Futterkammer-Regale	
1128	futterplan-vorlagen-anwendung	Anwendung Futterplan Vorlagen	
636	futtersilos-anwendung	Anwendung Futtersilos	
679	futterstationen-anwendung	Anwendung Futterstationen	
589	futtertonnen-anwendung	Anwendung Futtertonnen	
665	futterwaagen-anwendung	Anwendung Futterwaagen	
842	gassen-fuer-bodenarbeit-anwendung	Anwendung Gassen für Bodenarbeit	
784	gesundheit-senioren-gelenkergaenzer-fuer-senioren-anwendung	Anwendung Gelenkergänzer für Senioren	
932	gewoehnungssachen-anwendung	Anwendung Gewöhnungssachen	
584	hafer-anwendung	Anwendung Hafer	
532	heuballenraufen-anwendung	Anwendung Heuballenraufen	
503	heubedampfer-anwendung	Anwendung Heubedampfer	
512	heufeuchtemesser-anwendung	Anwendung Heufeuchtemesser	
641	heulagerung-anwendung	Anwendung Heulagerung	
517	heunetze-anwendung	Anwendung Heunetze	
498	heunetze-fuer-staubarmes-heu-anwendung	Anwendung Heunetze für staubarmes Heu	
527	heuraufen-anwendung	Anwendung Heuraufen	
541	heuspender-anwendung	Anwendung Heuspender	
689	huffett-anwendung	Anwendung Huffett	
684	hufoel-anwendung	Anwendung Huföl	
483	isolierte-wasserleitungen-anwendung	Anwendung Isolierte Wasserleitungen	
927	jungpferde-ausruestung-anwendung	Anwendung Jungpferde-Ausrüstung	
837	knotenhalfter-fuer-bodenarbeit-anwendung	Anwendung Knotenhalfter für Bodenarbeit	
755	gesundheit-regeneration-kuehlgamaschen-anwendung	Anwendung Kühlgamaschen	
851	longiergurte-anwendung	Anwendung Longiergurte	
856	longierleinen-anwendung	Anwendung Longierleinen	
861	longierpeitschen-anwendung	Anwendung Longierpeitschen	
609	magenfutter-anwendung	Anwendung Magenfutter	
765	magnetfelddecken-anwendung	Anwendung Magnetfelddecken	
594	mash-anwendung	Anwendung Mash	
760	massagegeraete-anwendung	Anwendung Massagegeräte	
546	mineralfutter-fuer-pferde-anwendung	Anwendung Mineralfutter für Pferde	
551	minerallecksteine-anwendung	Anwendung Minerallecksteine	
746	mistgabeln-hygiene-anwendung	Anwendung Mistgabeln Hygiene	
574	mueslis-fuer-pferde-anwendung	Anwendung Müslis für Pferde	
618	oele-fuer-pferde-anwendung	Anwendung Öle für Pferde	
741	parasitenmittel-stall-anwendung	Anwendung Parasitenmittel Stall	
579	pellets-anwendung	Anwendung Pellets	
794	rutschfeste-stallmatten-fuer-senioren-anwendung	Anwendung Rutschfeste Stallmatten für Senioren	
556	salzlecksteine-anwendung	Anwendung Salzlecksteine	
789	seniorendecken-anwendung	Anwendung Seniorendecken	
779	seniorenfutter-anwendung	Anwendung Seniorenfutter	
599	gesundheit-senioren-seniorenfutter-anwendung	Anwendung Seniorenfutter	
946	sicherheitshalfter-anwendung	Anwendung Sicherheitshalfter	
522	slowfeeder-anwendung	Anwendung Slowfeeder	
899	springstaender-anwendung	Anwendung Springständer	
561	spurenelemente-anwendung	Anwendung Spurenelemente	
894	stangenhalter-anwendung	Anwendung Stangenhalter	
951	stressarme-ausruestung-anwendung	Anwendung Stressarme Ausrüstung	
488	thermotraenken-anwendung	Anwendung Thermotränken	
913	trail-elemente-anwendung	Anwendung Trail-Elemente	
961	trainingsplaene-problempferde-anwendung	Anwendung Trainingspläne Problempferde	
908	trainingszubehoer-anwendung	Anwendung Trainingszubehör	
827	verbandskoffer-anwendung	Anwendung Verbandskoffer	
722	verbandsmaterial-anwendung	Anwendung Verbandsmaterial	
770	waermedecken-anwendung	Anwendung Wärmedecken	
736	waschmittel-fuer-pferdedecken-anwendung	Anwendung Waschmittel für Pferdedecken	
660	zeitschalt-futterautomaten-anwendung	Anwendung Zeitschalt-Futterautomaten	
1488	ausbildung-reitweisen	Ausbildung & Reitweisen	
967	1-5er-pferdeanhaenger-beratung	Beratung 1,5er Pferdeanhänger	
972	2er-pferdeanhaenger-beratung	Beratung 2er Pferdeanhänger	
977	alu-pferdeanhaenger-beratung	Beratung Alu-Pferdeanhänger	
199	anbindebalken-beratung	Beratung Anbindebalken	
1057	anhaengerbeleuchtung-beratung	Beratung Anhängerbeleuchtung	
995	anhaengerkameras-beratung	Beratung Anhängerkameras	
1024	anhaengerkupplungen-beratung	Beratung Anhängerkupplungen	
953	anti-scheuer-schutz-beratung	Beratung Anti-Scheuer-Schutz	
1117	ausruestung-grundlagen-beratung	Beratung Ausrüstung Grundlagen	
628	automatische-traenken-beratung	Beratung Automatische Tränken	
369	bahnplaner-beratung	Beratung Bahnplaner	
915	balance-pads-beratung	Beratung Balance-Pads	
772	bandagen-zur-regeneration-beratung	Beratung Bandagen zur Regeneration	
392	batterie-weidezaungeraete-beratung	Beratung Batterie-Weidezaungeräte	
963	bodenarbeitshilfen-beratung	Beratung Bodenarbeitshilfen	
829	bodenarbeitsseile-beratung	Beratung Bodenarbeitsseile	
872	bodenstangen-beratung	Beratung Bodenstangen	
180	boxengitter-beratung	Beratung Boxengitter	
185	boxenmatten-beratung	Beratung Boxenmatten	
175	boxentueren-beratung	Beratung Boxentüren	
810	bremsenfallen-beratung	Beratung Bremsenfallen	
705	gesundheit-insekten-und-schutz-bremsenfallen-beratung	Beratung Bremsenfallen	
273	dachrinnen-am-unterstand-beratung	Beratung Dachrinnen am Unterstand	
796	decken-fuer-seniorenpferde-beratung	Beratung Decken für Seniorenpferde	
39	pferdedecken-deckengurte-beratung	Beratung Deckengurte	
44	pferdedecken-deckentaschen-und-aufbewahrung-beratung	Beratung Deckentaschen und Aufbewahrung	
728	desinfektionsmittel-fuer-stall-beratung	Beratung Desinfektionsmittel für Stall	
601	diaetfutter-beratung	Beratung Diätfutter	
863	doppellonge-beratung	Beratung Doppellonge	
667	dosierer-fuer-futter-beratung	Beratung Dosierer für Futter	
886	dressurviereck-buchstaben-beratung	Beratung Dressurviereck Buchstaben	
844	dualgassen-beratung	Beratung Dualgassen	
877	training-bodenhindernisse-dualgassen-beratung	Beratung Dualgassen	
1070	einstellvertrag-vorlagen-beratung	Beratung Einstellvertrag Vorlagen	
815	ekzemerdecken-beratung	Beratung Ekzemerdecken	
710	gesundheit-insekten-und-schutz-ekzemerdecken-beratung	Beratung Ekzemerdecken	
422	elektrozaeune-fuer-pferde-beratung	Beratung Elektrozäune für Pferde	
106	englische-trensen-beratung	Beratung Englische Trensen	
402	erdung-beim-weidezaun-beratung	Beratung Erdung beim Weidezaun	
426	festzaeune-fuer-pferde-beratung	Beratung Festzäune für Pferde	
805	fliegenmasken-beratung	Beratung Fliegenmasken	
700	gesundheit-insekten-und-schutz-fliegenmasken-beratung	Beratung Fliegenmasken	
800	fliegensprays-beratung	Beratung Fliegensprays	
695	gesundheit-insekten-und-schutz-fliegensprays-beratung	Beratung Fliegensprays	
60	halfter-und-stricke-fohlenhalfter-beratung	Beratung Fohlenhalfter	
919	fohlenhalfter-beratung	Beratung Fohlenhalfter	
672	fressbremsen-beratung	Beratung Fressbremsen	
246	fressstaender-im-offenstall-beratung	Beratung Fressständer im Offenstall	
490	frostschutz-fuer-weidetraenken-beratung	Beratung Frostschutz für Weidetränken	
475	traenken-und-wasser-frostsichere-pferdetraenken-beratung	Beratung frostsichere Pferdetränken	
156	frostwaechter-beratung	Beratung Frostwächter	
934	fuehrtraining-zubehoer-beratung	Beratung Führtraining-Zubehör	
652	futterautomaten-beratung	Beratung Futterautomaten	
643	futterkammer-regale-beratung	Beratung Futterkammer-Regale	
1125	futterplan-vorlagen-beratung	Beratung Futterplan Vorlagen	
633	futtersilos-beratung	Beratung Futtersilos	
676	futterstationen-beratung	Beratung Futterstationen	
586	futtertonnen-beratung	Beratung Futtertonnen	
1107	futterumstellung-checkliste-beratung	Beratung Futterumstellung	
1119	fuetterung-grundlagen-beratung	Beratung Fütterung Grundlagen	
1080	fuetterungsberatung-beratung	Beratung Fütterungsberatung	
662	futterwaagen-beratung	Beratung Futterwaagen	
839	gassen-fuer-bodenarbeit-beratung	Beratung Gassen für Bodenarbeit	
111	gebisse-beratung	Beratung Gebisse	
116	gebisslose-zaeumungen-beratung	Beratung Gebisslose Zäumungen	
781	gesundheit-senioren-gelenkergaenzer-fuer-senioren-beratung	Beratung Gelenkergänzer für Senioren	
1121	gesundheitsvorsorge-grundlagen-beratung	Beratung Gesundheitsvorsorge Grundlagen	
929	gewoehnungssachen-beratung	Beratung Gewöhnungssachen	
581	hafer-beratung	Beratung Hafer	
1076	haftung-im-stall-beratung	Beratung Haftung im Stall	
1082	haltungsberatung-beratung	Beratung Haltungsberatung	
529	heuballenraufen-beratung	Beratung Heuballenraufen	
